id	text	category	priority	website	logo
317	Fleetwing	Frame manufacturer	0		
318	Flybikes	Frame manufacturer	0		
319	Flying Pigeon	Frame manufacturer	0		
320	Flying Scot	Frame manufacturer	0		
321	Focale44	Frame manufacturer	0		
322	Focus	Frame manufacturer	0		
323	Foggle	Frame manufacturer	0		
324	Fokhan	Frame manufacturer	0		
325	Folmer & Schwing	Frame manufacturer	0		
326	Fondriest	Frame manufacturer	0		
327	Forge Bikes	Frame manufacturer	0		
328	Formula	Frame manufacturer	0		
329	Foundry Cycles	Frame manufacturer	0		
330	Fox Racing	Frame manufacturer	0		
331	Fram	Frame manufacturer	0		
332	Freddie Grubb	Frame manufacturer	0		
333	Free Agent	Frame manufacturer	0		
334	Freedom	Frame manufacturer	0		
335	Freeload	Frame manufacturer	0		
336	FuelBelt	Frame manufacturer	0		
337	Fuji	Frame manufacturer	0		
338	Fulcrum	Frame manufacturer	0		
339	Fyxation	Frame manufacturer	0		
340	G Sport	Frame manufacturer	0		
341	G-Form	Frame manufacturer	0		
342	GT Bicycles	Frame manufacturer	0		
343	GU	Frame manufacturer	0		
344	Gamut	Frame manufacturer	0		
345	Gardin	Frame manufacturer	0		
346	Garmin	Frame manufacturer	0		
347	Gary Fisher	Frame manufacturer	0		
348	Gary Klein	Frame manufacturer	0		
349	Gates Carbon Drive	Frame manufacturer	0		
350	Gateway	Frame manufacturer	0		
351	Gazelle	Frame manufacturer	1		
352	Gear Aid	Frame manufacturer	0		
353	Gear Clamp	Frame manufacturer	0		
354	Gear Up	Frame manufacturer	0		
355	Geax	Frame manufacturer	0		
356	Gendron Bicycles	Frame manufacturer	0		
357	Genuine Innovations	Frame manufacturer	0		
358	Gepida	Frame manufacturer	0		
359	Giant	Frame manufacturer	0		
360	Gibbon Slacklines	Frame manufacturer	0		
361	Gitane	Frame manufacturer	0		
362	Glacier Glove	Frame manufacturer	0		
363	Gladiator Cycle Company	Frame manufacturer	0		
364	Globe	Frame manufacturer	0		
365	Gnome et Rhône	Frame manufacturer	0		
366	GoGirl	Frame manufacturer	0		
367	Gore	Frame manufacturer	0		
368	Gormully & Jeffery	Frame manufacturer	0		
369	Grab On	Frame manufacturer	0		
370	Grabber	Frame manufacturer	0		
371	Graber	Frame manufacturer	0		
372	Graflex	Frame manufacturer	0		
373	Granite Gear	Frame manufacturer	0		
374	Gravity	Frame manufacturer	0		
375	Greenfield	Frame manufacturer	0		
376	Greenspeed	Frame manufacturer	0		
377	Guerciotti	Frame manufacturer	0		
378	Gunnar	Frame manufacturer	0		
379	Guyot Designs	Frame manufacturer	0		
380	H Plus Son	Frame manufacturer	0		
381	HED	Frame manufacturer	0		
382	Halo	Frame manufacturer	0		
383	Hammer Nutrition	Frame manufacturer	0		
384	Handsome Cycles	Frame manufacturer	0		
385	Handspun	Frame manufacturer	0		
386	Haro	Frame manufacturer	0		
387	Harry Quinn	Frame manufacturer	0		
388	Harvey Cycle Works	Frame manufacturer	0		
389	Hase bikes	Frame manufacturer	0		
390	Hayes	Frame manufacturer	0		
391	Head	Frame manufacturer	0		
392	Headsweats	Frame manufacturer	0		
393	Heinkel	Frame manufacturer	0		
394	Helkama	Frame manufacturer	1		
395	Hercules Cycle and Motor Company company	Frame manufacturer	0		
396	Hercules Fahrrad GmbH & Co	Frame manufacturer	0		
397	Heritage	Frame manufacturer	0		
398	Hero Cycles Ltd	Frame manufacturer	0		
399	Hetchins	Frame manufacturer	0		
400	High Gear	Frame manufacturer	0		
401	Highland	Frame manufacturer	0		
402	Hillman	Frame manufacturer	0		
403	Hirzl	Frame manufacturer	0		
404	Hobson	Frame manufacturer	0		
405	Hoffman	Frame manufacturer	0		
406	Holdsworth	Frame manufacturer	0		
407	Honey Stinger	Frame manufacturer	0		
408	Hope	Frame manufacturer	0		
409	House of Talents	Frame manufacturer	1		
410	Hozan	Frame manufacturer	0		
411	HubBub	Frame manufacturer	0		
412	Hudz	Frame manufacturer	0		
413	Huffy	Frame manufacturer	0		
414	Humangear	Frame manufacturer	0		
415	Humber	Frame manufacturer	0		
416	Humble Frameworks	Frame manufacturer	0		
417	Hunter	Frame manufacturer	0		
418	Hurricane Components	Frame manufacturer	0		
419	Hurtu	Frame manufacturer	0		
420	Husqvarna Motorcycles	Frame manufacturer	0		
421	Hutchinson	Frame manufacturer	0		
422	Hyalite Equipment	Frame manufacturer	0		
423	Hydrapak	Frame manufacturer	0		
424	IBEX	Frame manufacturer	0		
425	IMBA	Frame manufacturer	0		
426	IRO Cycles	Frame manufacturer	0		
427	ISM	Frame manufacturer	0		
428	Ibis	Frame manufacturer	0		
429	Ice Trekkers	Frame manufacturer	0		
430	IceToolz	Frame manufacturer	0		
431	Ideal Bikes	Frame manufacturer	0		
432	Identiti	Frame manufacturer	0		
433	Incredibell	Frame manufacturer	0		
